time_stamp,version,metric,score
14-06-2023 21:07:48,1.0,LogisticRegression(),0.794180269694819
14-06-2023 21:07:49,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
14-06-2023 21:10:27,1.0,RandomForestClassifier(random_state=42),0.794889992902768
14-06-2023 21:10:49,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
14-06-2023 21:11:06,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.801277501774308
14-06-2023 21:11:25,1.0,"RandomForestClassifier(max_depth=5, random_state=42)",0.7991483321504613
14-06-2023 21:12:08,1.0,RandomForestClassifier(random_state=42),0.794889992902768
14-06-2023 21:12:30,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
14-06-2023 21:12:51,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.801277501774308
14-06-2023 21:13:11,1.0,"RandomForestClassifier(max_depth=5, random_state=42)",0.7991483321504613
14-06-2023 21:13:26,1.0,"RandomForestClassifier(max_depth=5, n_estimators=200, random_state=42)",0.7998580553584103
14-06-2023 21:13:43,1.0,"RandomForestClassifier(max_depth=5, n_estimators=300, random_state=42)",0.7991483321504613
14-06-2023 21:14:03,1.0,"RandomForestClassifier(max_depth=10, random_state=42)",0.8097941802696949
14-06-2023 21:14:29,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
14-06-2023 21:14:56,1.0,"RandomForestClassifier(max_depth=10, n_estimators=300, random_state=42)",0.8090844570617459
14-06-2023 21:15:19,1.0,LogisticRegression(),0.794180269694819
14-06-2023 21:15:19,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
14-06-2023 21:29:58,1.0,RandomForestClassifier(random_state=42),0.794889992902768
14-06-2023 21:30:20,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
14-06-2023 21:30:41,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.801277501774308
14-06-2023 21:31:11,1.0,"RandomForestClassifier(max_depth=5, random_state=42)",0.7991483321504613
14-06-2023 21:31:37,1.0,"RandomForestClassifier(max_depth=5, n_estimators=200, random_state=42)",0.7998580553584103
14-06-2023 21:31:58,1.0,"RandomForestClassifier(max_depth=5, n_estimators=300, random_state=42)",0.7991483321504613
14-06-2023 21:32:19,1.0,"RandomForestClassifier(max_depth=10, random_state=42)",0.8097941802696949
14-06-2023 21:32:36,1.0,"RandomForestClassifier(max_depth=10, n_estimators=200, random_state=42)",0.8126330731014905
14-06-2023 21:32:56,1.0,"RandomForestClassifier(max_depth=10, n_estimators=300, random_state=42)",0.8090844570617459
14-06-2023 21:33:20,1.0,LogisticRegression(),0.794180269694819
14-06-2023 21:33:21,1.0,DecisionTreeClassifier(random_state=42),0.7274662881476224
14-06-2023 21:34:13,1.0,RandomForestClassifier(random_state=42),0.794889992902768
14-06-2023 21:34:34,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
14-06-2023 21:35:09,1.0,RandomForestClassifier(random_state=42),0.794889992902768
14-06-2023 21:35:31,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.8034066713981547
14-06-2023 21:35:51,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.801277501774308
14-06-2023 21:36:16,1.0,RandomForestClassifier(random_state=42),0.7920511000709723
14-06-2023 21:36:38,1.0,"RandomForestClassifier(n_estimators=200, random_state=42)",0.7977288857345636
14-06-2023 21:38:12,1.0,"RandomForestClassifier(n_estimators=300, random_state=42)",0.7991483321504613
14-06-2023 21:38:31,1.0,"RandomForestClassifier(max_depth=5, random_state=42)",0.8005677785663591
